stageId,notebook,executionStatus,manifestStatus,sourceSha256,executedSha256,artifactFiles,checksumEntries,checksumFailures,networkCalls,externalAtsTransportCalls,elapsedSeconds,evidencePath
A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,PASS,SUCCEEDED,c3fe68cf946e432df7610ba78452898c0fe62dfd5f9df8296d314a7990d1a257,0250685c38e05545c1877988c5737ba2380c5d3a813f379951eb89ddebff4fb4,12,11,0,0,0,1.587,crawl/runs/notebooks/observed-dev/M1_5_AGENT1_20260806_01/A1-00-RECOVER
A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,PASS,SUCCEEDED,ea3454cca50c8e50b3d18406006f1f4fc83a705ba84134009cd3b42a2e3a95a2,73d9c111f451bd5ba0030e7de0ddd0be96c4a946dbee9e17be22051062f2237c,8,7,0,0,0,1.588,crawl/runs/notebooks/observed-dev/M1_5_AGENT1_20260806_01/A1-01-INDEX
A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,PASS,SUCCEEDED,ca713dc03c421ba9ea900fa72062ceba6ef32ac2d7642789c59194a8e8be3de3,9335ee3942e82e79311f8074a420838bb9604648f4921ddf76566edb4d7726a6,8,7,0,0,0,2.108,crawl/runs/notebooks/observed-dev/M1_5_AGENT1_20260806_01/A1-02-DETAIL
A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,PASS,SUCCEEDED,6baf34bb0daefeb455b0da86e0eba3624a7016d11fb893ecaf46fabd8c2181f2,f3f8e19073df8959cd4339a968900eadfd8ed2733cef60e3138778fdd6d39426,10,9,0,0,0,1.551,crawl/runs/notebooks/observed-dev/M1_5_AGENT1_20260806_01/A1-03-ASSET
A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,EXPECTED_BLOCKED,NOT_EVALUATED,2b798d8f7983375660a808a496ea8fd844b615f3f02f7611c248fd39b6d0e6e0,7b88355464c4e36704c65d4338f652806879c43efd14384e3c62c46799ee5cc1,6,5,0,0,0,1.59,crawl/runs/notebooks/observed-dev/M1_5_AGENT1_20260806_01/A1-04-RELEASE
