stageId,sourceNotebookPath,sourceNotebookSha256,gitBlobId,authorityCommit,sourceOutputCount,sourceExecutionCount,executedNotebookPath,executedNormalizedCodeParity,moduleTreeSha256,inputSchemaSha256,outputSchemaSha256,historicalRunId,historicalStageStatus,historicalArtifactChecksumsPass,authorityStatus
A4-00-NCS-SOURCE,ncs_mapping/notebooks/00NcsSourceAudit.ipynb,0186e062fb88c04bd5966a98b486eb9a0bd7963cd395b3f52c13533a82057ae2,79cb7a3f662ff7ea85a71043524de0d8630bd8ae,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/00NcsSourceAudit.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,5a658cd37281352cd626eb121118a861ab0d19a66ee582c5b597e679219ce198,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,SUCCEEDED,True,PASS
A4-01-CODESET,ncs_mapping/notebooks/01BuildCoreAiItCodeSet.ipynb,6ce52c351f5f2e60f4b4226989d9ab48ae0fd157e83d7f987e08dc045c250816,77e921da924711abb4abf3bc4d4d0ea7fb18c33e,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/01BuildCoreAiItCodeSet.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,5832741f592de6082ebfe5e9a35858806649a2f50cd2de8ed0c788511cdd79b6,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,SUCCEEDED,True,PASS
A4-02-RETRIEVAL,ncs_mapping/notebooks/02BuildNcsRetrievalIndex.ipynb,743d5cb7939697e1dd504d5f77c40f8f7b3093de71966d6abe56cfd51cabe22a,87bdbaf5a53517ae4478fdd762dbdd776e6563f9,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/02BuildNcsRetrievalIndex.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,5d7e1724d0f2d8cbffc272f999d20b21b4f3ffc4cef10ffb49a1e878cea0b01a,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,SUCCEEDED,True,PASS
A4-03-MAP-OBSERVED,ncs_mapping/notebooks/03MapObservedDuties.ipynb,69a5e625b98833909dc7e7c46a0ffa00c8ce34f81711b4e5f3997bcad6c3f893,afe6d0220fb9fdec4fe451a8bf937ee263b430d0,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/03MapObservedDuties.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,1a35521ac472c550ac903fbde3496ba5e54b8380b1b7c3fcdab2aade6d2e3dca,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,SUCCEEDED,True,PASS
A4-04-EXPORT,ncs_mapping/notebooks/04ExportNcsMappingCsv.ipynb,352257e1e3338059eacd32360ef215066c2e2ac6eb474613f5e3151aac4546f2,c3624cb654c9ce9f4be8736d542bc29602d8a680,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/04ExportNcsMappingCsv.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,5163cfd6bea6e1bc7a59f9a4ad169d5e1ecfcc7ed580bdfe2f7babdf6360434d,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,SUCCEEDED,True,PASS
A4-05-EVALUATE,ncs_mapping/notebooks/05EvaluateNcsMapping.ipynb,75b32a6207569c86b0901080b567f62db7a26605ebc13c50ad70c054a3068d86,47e118ececcbccee0945d7477c9be1c7158bfa62,70ac732a0314109eb3872d17a767b92075d262db,0,0,ncs_mapping/runs/notebooks/observed-dev/AGENT4_20260806_01/executed/05EvaluateNcsMapping.ipynb,True,a02308e2d19004903fe645b2e9df75268fc46fd525f7fb704a54a23b43b4784d,bc633ffb2515bb41ec47c102c30d35eee3b944e13a701357fb6c92885adef912,8044e34dfc3b9dc4ff613cc51c8212fee94accac08b2e68dc7b44671e724d6eb,AGENT4_20260806_01,NOT_EVALUATED,True,PASS
