chunkId,trackId,sectionId,sourceBlockId,chunkType,chunkText,normalizedText,ncsMappableFlag,chunkingVersion
CHK_bc2eb63a59cc1d4da5a26f12,TRK_0fbef660a7427af45a36,SEC_96d9b3732d503ae9c618,SBK_f0f75a9c99ad3d78f1d335e0,OTHER,[SH에너지화학] 생산본부 환경안전팀(관리직) 신입 채용(~3/9),[sh에너지화학] 생산본부 환경안전팀(관리직) 신입 채용(~3/9),False,p4-semantic-chunk-v4.0.0
CHK_35310bcdc1b3f26607d18d5c,TRK_0fbef660a7427af45a36,SEC_96d9b3732d503ae9c618,SBK_f0f75a9c99ad3d78f1d335e0,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_c6e7ffaacf9e33ef8135f8ca,TRK_0fbef660a7427af45a36,SEC_96d9b3732d503ae9c618,SBK_f0f75a9c99ad3d78f1d335e0,OTHER,서류전형 > 인성검사/필기시험 > 1차면접 > 2차면접 > 최종합격,서류전형 > 인성검사/필기시험 > 1차면접 > 2차면접 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_3a6f59e8a478d379c2b952f1,TRK_0fbef660a7427af45a36,SEC_77a924f282cb1491f706,SBK_b40e4a11db134f6000e2a62d,DUTY,환경안전,환경안전,True,p4-semantic-chunk-v4.0.0
CHK_8ccd91f75448ca0d74b639ac,TRK_0fbef660a7427af45a36,SEC_77a924f282cb1491f706,SBK_b40e4a11db134f6000e2a62d,DUTY,공장 내 점검활동을 통해 유해위험요소의 발굴에 따른 개선,공장 내 점검활동을 통해 유해위험요소의 발굴에 따른 개선,True,p4-semantic-chunk-v4.0.0
CHK_192f6596e24ff983c245385a,TRK_0fbef660a7427af45a36,SEC_77a924f282cb1491f706,SBK_b40e4a11db134f6000e2a62d,DUTY,보완업무 진행 및 각종 공사관련 사항에 대한 검토 및 관리업무,보완업무 진행 및 각종 공사관련 사항에 대한 검토 및 관리업무,True,p4-semantic-chunk-v4.0.0
CHK_4c3b48031ea421ea6323f81e,TRK_0fbef660a7427af45a36,SEC_aaf7855617f162661a3e,SBK_dcb5e06987fc239d116fe9c4,REQUIREMENT,4년제 대학 졸업예정 또는 졸업자,4년제 대학 졸업예정 또는 졸업자,True,p4-semantic-chunk-v4.0.0
CHK_a7c90587a91cc01f760d2215,TRK_259d13ca83163482aa5a,SEC_980f8f52d8c0ada19daf,SBK_449bd7343f86e5f455678612,OTHER,[한국임업진흥원] 각 부문별 신입 및 경력 채용(~3/14),[한국임업진흥원] 각 부문별 신입 및 경력 채용(~3/14),False,p4-semantic-chunk-v4.0.0
CHK_3c93c7d2438c4c233c737399,TRK_259d13ca83163482aa5a,SEC_980f8f52d8c0ada19daf,SBK_449bd7343f86e5f455678612,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_99be5aeed33e7ff22a4666bb,TRK_259d13ca83163482aa5a,SEC_980f8f52d8c0ada19daf,SBK_449bd7343f86e5f455678612,OTHER,서류전형 > 필기전형 > 면접전형 > 최종합격,서류전형 > 필기전형 > 면접전형 > 최종합격,False,p4-semantic-chunk-v4.0.0
