stageId,owner,executionMode,sourceNotebookPath,sourceNotebookSha256,moduleBlobSha256,runId,dataVersion,status,manifestPath,manifestSha256,exactOne,staleConsumed,foreignArtifactConsumed,productionNetworkCalls,externalAtsTransportCalls
A2-06-DEDUP,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/06Deduplicate90Days.ipynb,2516eb89f685e936ec4463dce6a541d53f0f3e2cd116c5b223e90e44977ebe18,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-06-DEDUP/stage_manifest.json,285cab3fc7ddc744cb5e77fc594406248662109e3783c09eaefc2059c8d31165,True,0,0,0,0
A2-07-LABEL,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/07LabelCareerAccess.ipynb,59eff99c960b89385ba19ccb6a0fb684c27524c976cfa5a0448975104e1ee7f2,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-07-LABEL/stage_manifest.json,c68e051c03f9fd12d7934ca45d6f5b0ce66dc189c3548da81f668707467f2aaf,True,0,0,0,0
A2-08-NCS-LOAD,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/08LoadAndPrepareNcs.ipynb,a35971022aca8232e4d0d0e6511ea48e1736baf71599155e81fb33add9476768,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-08-NCS-LOAD/stage_manifest.json,1c6ca53a5085d8c3b0fdb8466ba92106103788fa7067d71912fbb1d3556a5618,True,0,0,0,0
A2-09-NCS-MAP,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/09MapPostingToNcs.ipynb,cf635979e88a12ccdddccad433bdfd990aac5fc098689549296948ab085dd46e,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-09-NCS-MAP/stage_manifest.json,7f13fca32b999add08f2c9adb2e69c3a929488bee2962ff707521a9d665c3713,True,0,0,0,0
A2-10-EXPORT,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/10ExportPreprocessedCsv.ipynb,c6d408361411d05bcc56f3611fbb19af365513f8cc7417189d11158955bcdee8,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-10-EXPORT/stage_manifest.json,83052821bc265ab338025bd83c14ae2bec139821eeb22d9ddd74d764bc1be885,True,0,0,0,0
A2-11-QA,A2,FRESH_KERNEL_NOTEBOOK,pipeline/notebooks/11PreprocessedDataQa.ipynb,e83d52cc529a57b035ceae859f5d9d65171d867fc2e0016d620d09715d51a850,3f023bee45b92ff3db2c6ca499c01339be6a2779c95795dc35905cecd1a8f93b,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A2-11-QA/stage_manifest.json,63b3b6ffe4792f4cbf41539715dbd8f56cb63aa66cace7ec26299f470b874dcc,True,0,0,0,0
A4-00-NCS-SOURCE,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/00NcsSourceAudit.ipynb,0186e062fb88c04bd5966a98b486eb9a0bd7963cd395b3f52c13533a82057ae2,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A4-00-NCS-SOURCE/stage_manifest.json,d198a18a23f2b8ffbc503a2b43265e4575c1977a5556e970a6bb581a63839a1f,True,0,0,0,0
A4-01-CODESET,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/01BuildCoreAiItCodeSet.ipynb,6ce52c351f5f2e60f4b4226989d9ab48ae0fd157e83d7f987e08dc045c250816,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A4-01-CODESET/stage_manifest.json,e19bdd38a37f2e53fa876a30e001ba08590a2f8cf45e65e7eda5a29a5654481e,True,0,0,0,0
A4-02-RETRIEVAL,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/02BuildNcsRetrievalIndex.ipynb,743d5cb7939697e1dd504d5f77c40f8f7b3093de71966d6abe56cfd51cabe22a,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A4-02-RETRIEVAL/stage_manifest.json,2e552729c13b8dbffb4c0b4d3ebca740790a4053b58b39ca4175214d4e2225ca,True,0,0,0,0
A4-03-MAP-OBSERVED,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/03MapObservedDuties.ipynb,69a5e625b98833909dc7e7c46a0ffa00c8ce34f81711b4e5f3997bcad6c3f893,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A4-03-MAP-OBSERVED/stage_manifest.json,6084ea0a7236a59e9127ff56886af8beca131ec9baa1d48caf0760da4d4058c2,True,0,0,0,0
A4-04-EXPORT,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/04ExportNcsMappingCsv.ipynb,352257e1e3338059eacd32360ef215066c2e2ac6eb474613f5e3151aac4546f2,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,SUCCEEDED,reports/m1_5_unified_reconciliation/stages/A4-04-EXPORT/stage_manifest.json,60c65bb7b260aab19726d3747d5dd6fb40facf31a68aa190ec8580e1214b4671,True,0,0,0,0
A4-05-EVALUATE,A4,DETERMINISTIC_READ_ONLY_STAGE_RUNNER,ncs_mapping/notebooks/05EvaluateNcsMapping.ipynb,75b32a6207569c86b0901080b567f62db7a26605ebc13c50ad70c054a3068d86,6a2b0eed448675fbf898dd5a852744481adc04a86f3b0526fafb1af65daeb6e6,M1_5_RECONCILIATION_20260807_03,reconciliation-20260807.3,NOT_EVALUATED,reports/m1_5_unified_reconciliation/stages/A4-05-EVALUATE/stage_manifest.json,e95ba1ad37aec4a28e7636ac79657f4d046fd53b5a962ee238222a93fadac25f,True,0,0,0,0
